CustomerID,CustomerSegment,JoinDate,Province,LoyaltyTier,ActiveFlag
64,DIY,2024-08-02,NL,Bronze,Y
65,DIY,2024-06-07,AB,Bronze,Y
66,Loyalty,2025-03-16,BC,None,Y
67,Contractor,2021-05-08,AB,Silver,Y
68,DIY,2024-07-01,QC,Bronze,Y
69,DIY,2019-04-27,QC,Silver,Y
70,DIY,2025-09-16,ON,None,Y
71,Contractor,2019-04-29,BC,Gold,Y
72,Trade,2024-08-13,ON,None,Y
73,DIY,2021-12-09,AB,None,Y
74,DIY,2024-04-08,ON,Bronze,Y
75,Trade,2022-05-28,QC,None,Y
76,Contractor,2021-09-26,QC,Silver,N
77,Small Business,2021-01-02,NL,None,N
78,Contractor,2023-03-20,ON,Silver,Y
79,Trade,2020-11-11,AB,None,Y
80,Loyalty,2020-09-14,SK,None,Y
81,Small Business,2024-03-04,ON,Gold,Y
82,Contractor,2019-02-06,AB,Bronze,Y
83,DIY,2025-05-23,BC,None,N
84,DIY,2020-03-23,ON,None,Y
85,DIY,2025-06-26,ON,Bronze,Y
86,DIY,2021-10-30,ON,Gold,Y
87,DIY,2020-10-22,QC,None,Y
88,Small Business,2019-11-06,BC,None,Y
89,Trade,2023-01-28,QC,Silver,Y
90,Small Business,2019-06-01,ON,Bronze,Y
91,DIY,2021-09-22,ON,Gold,Y
92,DIY,2024-02-15,ON,Silver,Y
93,Trade,2021-01-04,NB,Gold,Y
94,DIY,2025-12-17,QC,Gold,Y
95,Trade,2022-05-03,ON,Bronze,Y
96,DIY,2022-08-12,ON,Silver,Y
97,Contractor,2021-05-22,ON,None,Y
98,Trade,2019-03-09,QC,None,Y
99,Small Business,2025-04-12,QC,None,Y
100,DIY,2025-05-10,BC,None,Y
101,Trade,2022-08-01,NB,None,Y
102,DIY,2025-10-04,QC,None,Y
103,DIY,2024-06-25,AB,Silver,Y
104,Trade,2024-01-08,AB,Silver,Y
105,DIY,2022-12-23,ON,Bronze,Y
106,DIY,2021-01-21,BC,Bronze,Y
107,DIY,2025-01-03,QC,Bronze,Y
108,Trade,2019-09-01,BC,Bronze,Y
109,Trade,2019-05-29,ON,None,Y
110,DIY,2022-10-22,MB,Silver,Y
111,DIY,2025-09-16,ON,Bronze,Y
112,DIY,2020-10-08,ON,Silver,Y
113,DIY,2022-12-10,QC,Bronze,Y
114,DIY,2024-09-17,BC,Bronze,Y
115,Loyalty,2023-10-28,ON,Silver,Y
116,Loyalty,2022-11-23,BC,None,Y
117,Contractor,2025-09-25,ON,Silver,Y
118,DIY,2019-10-08,ON,Silver,Y
119,Loyalty,2020-02-05,SK,None,Y
120,DIY,2025-09-21,AB,Bronze,Y
121,DIY,2019-09-04,AB,Bronze,Y
122,DIY,2022-09-22,ON,Bronze,Y
123,Trade,2019-01-18,BC,Silver,Y
124,Contractor,2022-01-08,AB,Silver,Y
125,DIY,2024-08-06,BC,None,Y
126,Loyalty,2025-02-10,ON,Bronze,Y
127,Small Business,2024-12-09,AB,Silver,Y
128,DIY,2021-05-04,QC,None,Y
129,Loyalty,2020-10-17,ON,Bronze,Y
130,Trade,2021-11-20,BC,Bronze,N
131,DIY,2020-06-03,BC,None,Y
132,DIY,2022-11-06,BC,None,Y
133,Contractor,2022-11-28,SK,Silver,N
134,Trade,2022-10-07,ON,Gold,Y
135,DIY,2025-12-28,QC,Silver,Y
136,DIY,2021-10-07,ON,None,Y
137,DIY,2023-08-27,QC,Bronze,Y
138,Loyalty,2023-07-13,ON,Silver,Y
139,Contractor,2021-11-29,MB,Silver,Y
140,Loyalty,2019-09-09,ON,None,Y
141,Small Business,2020-09-10,AB,Silver,Y
142,DIY,2021-02-15,ON,None,Y
143,Contractor,2023-10-27,ON,Bronze,Y
144,Contractor,2020-02-07,ON,Bronze,Y
145,Contractor,2020-09-26,NB,None,Y
146,DIY,2021-10-02,QC,Gold,Y
147,DIY,2024-11-03,QC,None,Y
148,Trade,2022-08-25,SK,None,Y
149,Trade,2025-05-25,ON,None,Y
150,Contractor,2019-01-05,ON,Silver,Y
151,Trade,2024-07-30,AB,Silver,Y
152,Contractor,2020-06-18,ON,None,Y
153,DIY,2025-05-05,BC,Bronze,Y
154,Small Business,2024-06-17,QC,None,Y
155,DIY,2024-05-05,MB,Bronze,N
156,DIY,2025-01-25,ON,None,Y
157,DIY,2021-05-06,ON,Bronze,Y
158,Trade,2024-02-25,MB,Bronze,Y
159,DIY,2023-08-25,SK,None,Y
160,DIY,2023-08-19,QC,Gold,N
161,Small Business,2019-11-20,NB,Silver,Y
162,DIY,2024-07-02,AB,None,Y
163,Loyalty,2019-11-24,SK,Silver,Y
164,Contractor,2022-10-28,QC,Silver,Y
165,Loyalty,2020-06-15,ON,None,Y
166,DIY,2020-12-07,QC,Bronze,Y
167,DIY,2019-09-24,QC,Bronze,Y
168,DIY,2025-12-12,BC,Silver,Y
169,Loyalty,2022-07-08,ON,None,Y
170,DIY,2024-07-16,AB,Silver,Y
171,Small Business,2020-06-09,ON,None,Y
172,DIY,2021-07-22,MB,Gold,Y
173,Trade,2025-06-27,QC,Bronze,Y
174,DIY,2023-03-26,QC,Bronze,Y
175,Trade,2025-08-08,QC,None,Y
176,DIY,2024-06-07,MB,Bronze,Y
177,Loyalty,2023-03-29,QC,Silver,Y
178,Contractor,2022-09-15,BC,Bronze,Y
179,Loyalty,2019-12-22,NB,Gold,Y
180,DIY,2022-01-30,AB,Silver,Y
181,DIY,2019-01-29,ON,Gold,Y
182,Contractor,2024-02-05,ON,None,Y
183,Contractor,2019-04-07,BC,None,Y
184,Small Business,2022-02-06,AB,None,Y
185,DIY,2025-06-16,BC,Gold,Y
186,DIY,2023-05-05,MB,None,Y
187,DIY,2023-11-04,ON,Silver,Y
188,DIY,2025-03-28,BC,Silver,Y
189,Loyalty,2021-02-03,AB,Silver,Y
190,Small Business,2020-03-03,PE,Silver,Y
191,Contractor,2023-10-23,ON,Silver,Y
192,DIY,2025-12-09,SK,Gold,Y
193,DIY,2025-07-02,MB,None,Y
194,DIY,2023-03-31,ON,Bronze,Y
195,Trade,2023-09-15,QC,Bronze,N
196,Contractor,2022-03-31,ON,Gold,Y
197,Loyalty,2023-09-12,QC,None,Y
198,Contractor,2020-11-11,QC,Bronze,Y
199,DIY,2021-01-03,QC,Gold,Y
200,Contractor,2019-03-04,QC,Silver,Y
201,Small Business,2024-08-19,BC,Bronze,Y
202,Loyalty,2021-04-09,QC,Gold,Y
203,Trade,2023-03-30,MB,Silver,Y
204,DIY,2020-06-22,BC,Silver,Y
205,Trade,2020-05-17,ON,Silver,Y
206,Loyalty,2024-10-22,PE,Gold,Y
207,Loyalty,2022-02-02,QC,Gold,Y
208,DIY,2019-12-25,SK,Silver,Y
209,DIY,2022-12-24,AB,None,N
210,Trade,2021-10-19,ON,None,N
211,Loyalty,2019-08-11,QC,None,Y
212,DIY,2020-05-23,QC,None,Y
213,DIY,2023-04-21,AB,Bronze,Y
214,DIY,2019-12-31,NB,Gold,Y
215,Contractor,2019-01-20,ON,Bronze,Y
216,DIY,2023-09-02,QC,Bronze,Y
217,Trade,2019-11-18,QC,None,Y
218,DIY,2023-10-11,SK,None,Y
219,Loyalty,2020-10-06,AB,None,Y
220,DIY,2021-06-29,ON,None,Y
221,DIY,2019-10-07,AB,Gold,Y
222,DIY,2022-07-04,PE,None,Y
223,DIY,2021-06-14,ON,None,Y
224,Loyalty,2021-09-21,MB,None,Y
225,Trade,2022-01-13,ON,Silver,Y
226,Contractor,2021-09-16,MB,Bronze,Y
227,Loyalty,2025-09-09,NL,Bronze,Y
228,Contractor,2022-06-24,BC,Silver,Y
229,DIY,2023-10-28,BC,Bronze,Y
230,Contractor,2022-05-09,BC,None,Y
231,Small Business,2020-06-11,QC,Silver,N
232,Contractor,2019-07-13,BC,Gold,Y
233,DIY,2024-03-15,ON,None,Y
234,Trade,2019-07-22,AB,Silver,Y
235,Loyalty,2021-09-09,BC,Silver,Y
236,Contractor,2024-01-29,NS,Gold,Y
237,Loyalty,2022-12-24,ON,Bronze,N
238,DIY,2025-03-03,ON,None,Y
239,Trade,2024-04-22,ON,Bronze,Y
240,Loyalty,2024-08-22,ON,None,Y
241,Contractor,2019-11-15,AB,Bronze,Y
242,DIY,2019-06-10,SK,None,Y
243,DIY,2019-03-25,ON,None,Y
244,Contractor,2025-03-28,QC,Bronze,Y
245,DIY,2020-03-19,SK,Bronze,Y
246,Loyalty,2019-11-07,SK,Silver,Y
247,DIY,2023-05-24,QC,Gold,Y
248,DIY,2019-09-19,NB,None,Y
249,Trade,2021-03-07,ON,Bronze,Y
250,Loyalty,2021-09-14,MB,Silver,Y
251,DIY,2021-04-10,QC,None,Y
252,DIY,2021-02-26,QC,Gold,Y
253,Contractor,2020-01-11,ON,Silver,Y
254,Trade,2025-05-03,QC,Bronze,Y
255,DIY,2023-12-28,BC,Bronze,Y
256,DIY,2019-09-05,QC,Bronze,Y
257,DIY,2019-04-03,ON,Bronze,Y
258,Trade,2023-04-15,BC,Silver,Y
259,Contractor,2023-08-19,ON,Gold,Y
260,DIY,2020-08-06,BC,Bronze,Y
261,DIY,2025-11-07,ON,Silver,Y
262,Contractor,2022-03-05,AB,Silver,Y
263,DIY,2021-04-07,ON,None,Y
264,Loyalty,2020-11-07,ON,Gold,Y
265,Loyalty,2020-05-17,ON,Bronze,Y
266,Trade,2021-01-10,NB,Bronze,Y
267,Loyalty,2022-03-11,ON,Silver,Y
268,Small Business,2025-08-11,QC,Silver,Y
269,Trade,2019-03-24,AB,Silver,Y
270,Trade,2022-01-01,ON,Silver,Y
271,DIY,2025-08-04,MB,Bronze,Y
272,Contractor,2022-06-07,ON,Silver,Y
273,Loyalty,2019-05-31,BC,Gold,N
274,DIY,2024-12-25,BC,Bronze,Y
275,Contractor,2023-12-23,QC,Gold,Y
276,Trade,2024-06-24,QC,Gold,Y
277,Trade,2023-05-15,BC,Bronze,Y
278,DIY,2023-07-13,BC,Bronze,Y
279,DIY,2025-02-02,AB,Bronze,Y
280,Contractor,2020-08-10,ON,None,Y
281,Contractor,2025-09-22,QC,None,Y
282,DIY,2019-03-02,QC,Bronze,Y
283,Contractor,2021-08-04,AB,Bronze,Y
284,Contractor,2025-11-23,ON,Bronze,Y
285,DIY,2020-10-21,NS,Silver,Y
286,Contractor,2020-11-24,QC,Silver,Y
287,Contractor,2021-08-17,ON,None,Y
288,Trade,2019-11-30,ON,Silver,Y
289,Contractor,2020-06-22,QC,Bronze,Y
290,DIY,2024-04-11,AB,Gold,N
291,Contractor,2023-03-24,BC,Silver,Y
292,Contractor,2022-06-03,NS,None,Y
293,Loyalty,2023-01-14,AB,Bronze,Y
294,Trade,2019-01-28,QC,Silver,Y
295,DIY,2023-07-07,BC,None,Y
296,Contractor,2024-01-04,AB,None,Y
297,DIY,2022-04-21,QC,None,Y
298,Trade,2022-11-11,ON,Gold,Y
299,Small Business,2019-03-24,ON,Silver,Y
300,DIY,2023-07-01,QC,None,Y
301,DIY,2022-04-11,ON,Gold,Y
302,DIY,2022-11-04,BC,Bronze,Y
303,DIY,2023-12-29,ON,Gold,Y
304,Loyalty,2023-11-12,BC,Silver,Y
305,DIY,2020-05-29,QC,Gold,Y
306,Contractor,2020-07-15,QC,None,Y
307,Loyalty,2022-03-02,ON,Bronze,Y
308,DIY,2024-12-10,NB,Bronze,Y
309,Trade,2021-07-06,BC,Silver,N
310,Contractor,2022-04-10,ON,Bronze,Y
311,DIY,2024-06-12,BC,None,Y
312,Small Business,2024-01-13,AB,Bronze,Y
313,Small Business,2025-01-08,QC,Gold,Y
314,DIY,2023-11-13,ON,Bronze,Y
315,DIY,2024-06-05,QC,None,Y
316,Contractor,2019-04-10,ON,Bronze,Y
317,Loyalty,2021-09-22,ON,Bronze,Y
318,Small Business,2023-10-25,AB,Bronze,Y
319,DIY,2025-07-03,NS,Silver,Y
320,DIY,2023-07-04,BC,None,Y
321,DIY,2023-08-29,ON,Silver,Y
322,DIY,2022-08-01,AB,None,N
323,DIY,2021-03-26,ON,Silver,Y
324,Contractor,2024-04-01,BC,None,Y
325,Contractor,2021-12-13,ON,None,Y
326,DIY,2021-03-10,AB,Bronze,Y
327,Contractor,2022-04-19,QC,Silver,Y
328,DIY,2024-03-30,ON,Silver,Y
329,DIY,2025-07-11,BC,Gold,Y
330,Contractor,2024-02-04,NB,Silver,Y
331,DIY,2022-03-18,AB,Bronze,Y
332,DIY,2023-02-14,ON,Gold,Y
333,DIY,2022-07-23,QC,None,Y
334,DIY,2019-10-11,NB,Bronze,Y
335,Contractor,2020-10-17,BC,Bronze,Y
336,Trade,2023-04-03,ON,Bronze,Y
337,DIY,2022-12-17,AB,None,Y
338,Loyalty,2025-11-05,ON,Bronze,Y
339,DIY,2024-12-25,ON,None,Y
340,Small Business,2023-05-13,ON,Gold,Y
341,Small Business,2024-01-22,ON,None,Y
342,Trade,2023-10-02,AB,Bronze,Y
343,DIY,2024-04-18,BC,Silver,Y
344,Trade,2025-10-19,NS,Silver,Y
345,DIY,2020-07-26,QC,Bronze,Y
346,Loyalty,2021-06-10,NB,Bronze,Y
347,DIY,2019-11-24,QC,Silver,Y
348,DIY,2023-07-25,QC,None,N
349,Contractor,2022-05-03,QC,Gold,Y
350,DIY,2024-03-15,MB,Bronze,Y
351,DIY,2021-06-23,MB,None,Y
352,Trade,2020-03-02,QC,None,Y
353,DIY,2020-08-12,ON,Silver,Y
354,DIY,2023-06-04,BC,None,Y
355,Small Business,2024-08-23,ON,Bronze,N
356,Small Business,2022-06-10,QC,None,Y
357,DIY,2023-11-25,MB,Gold,Y
358,DIY,2021-09-25,ON,Bronze,Y
359,Small Business,2021-06-14,ON,None,Y
360,Trade,2023-03-17,QC,None,N
361,Trade,2022-04-13,SK,Bronze,Y
362,DIY,2022-09-29,QC,Gold,Y
363,DIY,2023-08-12,AB,None,Y
364,DIY,2024-05-30,ON,Bronze,N
365,DIY,2019-01-14,ON,Silver,Y
366,DIY,2022-04-14,QC,Silver,Y
367,DIY,2022-01-06,ON,Bronze,Y
368,DIY,2022-09-25,QC,Gold,Y
369,DIY,2020-04-25,NL,Silver,Y
370,DIY,2024-06-09,ON,None,Y
371,DIY,2019-01-23,ON,Bronze,Y
372,Contractor,2024-05-09,BC,Gold,Y
373,Contractor,2021-08-09,BC,Gold,Y
374,Trade,2025-10-30,BC,None,Y
375,DIY,2022-02-17,ON,None,Y
376,Loyalty,2024-07-11,QC,Gold,Y
377,Trade,2024-04-30,QC,None,Y
378,DIY,2025-09-14,BC,Silver,Y
379,Trade,2024-05-21,SK,None,Y
380,DIY,2019-05-01,ON,None,Y
381,DIY,2023-01-13,BC,Silver,Y
382,DIY,2024-09-01,ON,Gold,Y
383,DIY,2021-06-25,BC,Silver,Y
384,Small Business,2023-08-10,ON,Bronze,Y
385,DIY,2023-11-15,AB,None,Y
386,Contractor,2021-10-28,ON,Bronze,Y
387,DIY,2019-05-25,QC,Gold,Y
388,DIY,2023-07-29,ON,Bronze,N
389,Loyalty,2019-01-03,BC,Bronze,Y
390,Trade,2020-04-18,SK,Bronze,Y
391,Loyalty,2025-07-19,NB,None,Y
392,Contractor,2019-08-24,AB,Silver,Y
393,DIY,2024-07-29,ON,None,Y
394,DIY,2025-06-09,SK,Bronze,Y
395,Loyalty,2022-01-13,QC,Bronze,N
396,Contractor,2022-02-23,AB,None,Y
397,Contractor,2024-05-30,NS,Gold,Y
398,Loyalty,2019-08-19,AB,None,Y
399,Contractor,2023-04-24,ON,None,Y
400,DIY,2020-12-26,BC,Gold,Y
401,Contractor,2019-03-19,NS,None,Y
402,DIY,2019-10-05,AB,None,Y
403,Small Business,2022-12-06,PE,Gold,Y
404,DIY,2023-12-15,ON,Bronze,Y
405,Trade,2019-06-01,BC,Gold,Y
406,DIY,2022-09-03,BC,None,Y
407,DIY,2019-09-19,QC,Bronze,Y
408,Loyalty,2019-02-06,NS,Gold,Y
409,Small Business,2025-09-03,MB,Bronze,Y
410,DIY,2025-01-18,ON,Bronze,Y
411,DIY,2025-07-10,QC,Bronze,Y
412,DIY,2024-10-22,BC,Bronze,Y
413,DIY,2020-11-12,ON,Bronze,Y
414,Contractor,2020-01-12,ON,Silver,Y
415,Trade,2022-06-03,ON,None,Y
416,DIY,2021-05-15,ON,Gold,Y
417,DIY,2019-07-06,QC,Bronze,Y
418,DIY,2022-03-20,BC,Bronze,Y
419,Small Business,2022-09-10,ON,Bronze,Y
420,DIY,2022-08-17,ON,Bronze,Y
421,Loyalty,2023-02-21,NL,None,Y
422,Trade,2025-10-21,ON,Bronze,Y
423,Small Business,2023-08-07,BC,Bronze,Y
424,Contractor,2021-09-11,QC,None,Y
425,Small Business,2023-01-18,ON,None,Y
426,DIY,2020-04-21,QC,None,Y
427,Contractor,2023-03-14,ON,Bronze,Y
428,Contractor,2019-03-19,ON,Silver,Y
429,DIY,2024-08-06,ON,None,Y
430,DIY,2024-02-14,BC,Bronze,Y
431,Loyalty,2019-07-18,QC,None,Y
432,Contractor,2020-03-15,ON,None,Y
433,DIY,2023-08-14,ON,Gold,Y
434,DIY,2024-01-25,QC,Silver,Y
435,Trade,2022-07-09,SK,Silver,Y
436,DIY,2022-07-27,QC,None,Y
437,Contractor,2019-01-14,ON,Bronze,N
438,Contractor,2023-05-28,SK,None,Y
439,Trade,2021-12-22,ON,None,Y
440,Small Business,2022-10-21,BC,Bronze,Y
441,DIY,2025-07-24,BC,Gold,N
442,DIY,2020-06-07,QC,Silver,Y
443,Loyalty,2024-11-11,ON,Gold,Y
444,DIY,2021-07-09,NB,None,Y
445,Trade,2020-08-08,ON,Gold,Y
446,DIY,2025-06-26,MB,Silver,Y
447,DIY,2025-05-03,ON,Gold,Y
448,Small Business,2023-08-21,QC,None,Y
449,DIY,2021-11-13,ON,Silver,Y
450,Contractor,2023-06-07,ON,Silver,N
451,DIY,2019-05-12,NB,Bronze,Y
452,DIY,2019-04-27,QC,Silver,Y
453,Small Business,2025-02-18,AB,Silver,Y
454,Small Business,2020-11-04,NB,None,N
455,Contractor,2019-10-16,ON,Gold,Y
456,Contractor,2025-07-09,ON,Bronze,Y
457,Contractor,2020-08-05,BC,Bronze,Y
458,DIY,2019-01-23,QC,None,Y
459,Loyalty,2025-12-20,ON,Silver,Y
460,Trade,2024-11-13,NS,Bronze,Y
461,Contractor,2021-11-29,ON,None,Y
462,Contractor,2024-08-06,ON,Silver,Y
463,Contractor,2024-02-23,QC,Bronze,N
464,Loyalty,2019-11-06,QC,Silver,Y
465,DIY,2023-05-12,NS,None,Y
466,Trade,2023-10-27,AB,Bronze,Y
467,Contractor,2022-03-29,NS,Gold,Y
468,Contractor,2019-10-24,QC,Silver,Y
469,Contractor,2022-08-01,NB,Silver,Y
470,DIY,2020-11-21,ON,Silver,Y
471,Contractor,2023-11-18,AB,None,Y
472,DIY,2020-10-07,ON,Gold,N
473,Trade,2019-11-19,NB,None,Y
474,Small Business,2021-07-17,BC,Bronze,Y
475,DIY,2023-03-09,AB,Silver,Y
476,Loyalty,2023-01-04,BC,Silver,N
477,DIY,2022-12-06,AB,Bronze,Y
478,Trade,2021-08-03,ON,Silver,Y
479,DIY,2025-09-10,QC,None,Y
480,DIY,2025-04-07,NS,Bronze,Y
481,Loyalty,2023-09-29,ON,Bronze,Y
482,Loyalty,2024-09-02,ON,None,Y
483,Small Business,2025-03-23,AB,None,Y
484,Loyalty,2023-08-09,BC,Silver,Y
485,Trade,2023-08-25,NB,Bronze,Y
486,DIY,2021-05-08,NB,None,Y
487,DIY,2021-05-14,ON,None,Y
488,DIY,2022-12-17,NS,Silver,Y
489,DIY,2024-09-22,ON,Bronze,Y
490,Loyalty,2023-12-05,MB,None,Y
491,DIY,2020-05-13,SK,Gold,Y
492,DIY,2019-06-15,AB,None,Y
493,Contractor,2025-10-23,ON,Silver,Y
494,Contractor,2020-04-19,AB,None,Y
495,DIY,2025-06-10,ON,Bronze,Y
496,Loyalty,2022-10-02,BC,Silver,Y
497,DIY,2019-07-01,QC,Bronze,Y
498,Loyalty,2024-12-28,QC,None,Y
499,DIY,2024-12-10,QC,Silver,Y
500,DIY,2024-11-29,ON,Bronze,Y
501,Small Business,2023-07-07,ON,Silver,Y
502,Loyalty,2023-05-13,AB,Silver,Y
503,DIY,2025-11-27,QC,Silver,Y
504,DIY,2019-12-28,QC,None,Y
505,Contractor,2025-10-02,NS,Gold,Y
506,DIY,2024-02-19,ON,Silver,Y
507,DIY,2024-01-27,ON,None,Y
508,DIY,2025-04-11,NS,Silver,Y
509,Trade,2020-09-26,AB,None,Y
510,DIY,2024-10-08,BC,Gold,Y
511,Contractor,2023-04-02,BC,None,Y
512,DIY,2024-03-14,QC,None,Y
513,Contractor,2021-05-10,ON,None,Y
514,DIY,2023-11-08,QC,Bronze,Y
515,DIY,2023-04-23,QC,None,Y
516,DIY,2023-02-05,AB,Bronze,Y
517,Trade,2023-04-25,BC,Bronze,Y
518,DIY,2020-01-13,BC,None,N
519,DIY,2022-07-30,QC,Gold,Y
520,Trade,2022-04-30,BC,Silver,Y
521,DIY,2020-09-30,ON,Gold,N
522,Trade,2019-06-12,ON,Bronze,Y
523,DIY,2023-03-24,ON,Bronze,Y
524,Loyalty,2024-12-13,QC,Gold,Y
525,Contractor,2020-07-16,ON,None,Y
526,Trade,2024-10-01,ON,None,Y
527,DIY,2022-01-08,AB,None,Y
528,Contractor,2023-10-04,QC,Bronze,Y
529,Trade,2022-01-29,QC,Silver,N
530,Trade,2024-12-29,PE,Silver,Y
531,DIY,2022-06-19,ON,None,Y
532,DIY,2025-05-17,ON,Silver,Y
533,Contractor,2019-05-25,ON,Bronze,Y
534,DIY,2022-04-14,ON,Gold,Y
535,Contractor,2025-10-10,ON,Bronze,Y
536,Contractor,2024-06-05,QC,Bronze,Y
537,Contractor,2021-02-26,AB,None,Y
538,Small Business,2024-12-11,BC,None,Y
539,DIY,2025-01-29,QC,Gold,Y
540,Trade,2025-08-05,ON,Silver,Y
541,DIY,2023-02-03,AB,None,Y
542,Contractor,2025-09-08,NS,Gold,Y
543,DIY,2025-08-21,QC,Gold,Y
544,Contractor,2021-06-29,QC,None,Y
545,Contractor,2019-03-20,ON,Bronze,Y
546,DIY,2024-01-01,ON,Bronze,Y
547,DIY,2025-10-29,ON,None,Y
548,Trade,2022-10-11,ON,None,Y
549,DIY,2024-05-17,ON,Silver,Y
550,DIY,2019-12-01,ON,Bronze,Y
551,DIY,2020-03-01,ON,Bronze,Y
552,DIY,2024-08-19,ON,None,Y
553,Trade,2025-08-01,ON,Gold,Y
554,Contractor,2023-08-04,QC,None,Y
555,DIY,2023-10-23,ON,None,Y
556,DIY,2025-05-16,AB,Bronze,Y
557,DIY,2023-06-02,ON,None,Y
558,DIY,2020-12-26,MB,Silver,Y
559,Loyalty,2023-03-22,BC,Bronze,Y
560,Trade,2020-09-26,NS,Silver,Y
561,DIY,2020-11-24,ON,Gold,Y
562,Contractor,2022-05-30,AB,Silver,Y
563,Small Business,2019-08-17,ON,Gold,Y
564,Trade,2019-09-11,AB,None,Y
565,Loyalty,2023-05-26,ON,None,Y
566,DIY,2023-05-03,ON,None,Y
567,Trade,2025-02-26,AB,None,Y
568,DIY,2024-01-02,ON,None,Y
569,Loyalty,2019-02-19,ON,Bronze,Y
570,DIY,2020-07-23,ON,None,Y
571,Small Business,2024-01-21,ON,Bronze,Y
572,DIY,2022-05-01,AB,None,Y
573,Small Business,2024-06-05,BC,Silver,Y
574,Trade,2020-08-08,NL,Gold,Y
575,Trade,2019-02-05,AB,Bronze,Y
576,DIY,2020-10-27,ON,Gold,Y
577,DIY,2022-11-21,NS,Bronze,N
578,DIY,2019-02-25,BC,None,Y
579,DIY,2022-06-14,BC,None,Y
580,Small Business,2023-07-26,ON,None,Y
581,DIY,2021-10-02,BC,Silver,Y
582,Loyalty,2022-09-01,MB,Bronze,Y
583,Trade,2025-11-13,SK,Bronze,Y
584,Small Business,2023-04-12,AB,None,Y
585,DIY,2021-01-21,QC,Silver,Y
586,Contractor,2019-08-12,AB,None,Y
587,Trade,2021-04-14,BC,Silver,Y
588,Contractor,2024-01-19,SK,None,Y
589,Contractor,2024-12-11,BC,Gold,Y
590,Small Business,2022-01-20,ON,None,Y
591,Loyalty,2022-06-01,AB,None,Y
592,Trade,2019-08-15,QC,None,Y
593,DIY,2022-02-23,QC,Bronze,Y
594,DIY,2024-10-11,ON,None,Y
595,DIY,2019-10-06,QC,Bronze,Y
596,DIY,2019-07-29,AB,Silver,Y
597,Loyalty,2023-05-25,ON,Bronze,Y
598,DIY,2025-03-06,NB,None,Y
599,DIY,2024-01-08,MB,None,N
600,Trade,2019-12-08,ON,Bronze,Y
601,Small Business,2023-01-15,QC,None,Y
602,DIY,2023-09-01,AB,None,Y
603,Contractor,2024-10-22,BC,None,Y
