TransactionID,StoreID,ProductID,CustomerID,TransactionDate,Quantity,UnitPrice,Discount,SalesAmount,PaymentMethod,Channel,LastModifiedDate,SourceSystem
26,50,18223.0,459547.0,2025-01-01,2,54.85,0.0,109.7,Credit,Store,2025-01-31,POS
27,367,26562.0,,2025-01-24,3,103.6,0.0,310.8,Cash,Store,2025-03-02,POS
28,730,20506.0,73909.0,2025-01-03,4,12.67,2.53,48.15,Credit,Store,2025-01-03,POS
29,447,47325.0,331538.0,2025-01-14,2,32.74,0.0,65.48,Credit,Online,2025-01-14,POS
30,318,8985.0,303545.0,2025-01-12,1,9.12,0.91,8.21,Debit,Store,2025-01-29,POS
31,464,31185.0,444553.0,2025-01-18,1,42.61,0.0,42.61,Credit,Store,2025-01-18,POS
32,124,49723.0,,2025-01-02,4,12.03,2.41,45.71,Mobile Wallet,Store,2025-01-18,POS
33,741,22501.0,,2025-01-02,1,9.44,0.0,9.44,Debit,Store,2025-02-02,POS
34,730,49309.0,94904.0,2025-01-13,4,37.54,30.03,120.13,Credit,Store,2025-01-13,POS
35,605,38017.0,,2025-01-03,4,55.46,22.18,199.66,Cash,Store,2025-01-03,POS
36,536,16418.0,370995.0,2025-01-29,4,33.96,0.0,135.84,Debit,Store,2025-01-29,POS
37,118,45921.0,60253.0,2025-01-09,2,78.02,0.0,156.04,Debit,Store,2025-01-09,POS
38,120,8975.0,3429.0,2025-01-12,2,20.76,0.0,41.52,Credit,Store,2025-01-12,POS
39,707,6968.0,182439.0,2025-01-28,3,12.93,0.0,38.79,Credit,Store,2025-03-12,POS
40,520,11124.0,221810.0,2025-01-10,2,101.54,0.0,203.08,Debit,Store,2025-02-17,POS
41,325,19261.0,242140.0,2025-01-16,4,49.33,0.0,197.32,Debit,Store,2025-02-17,POS
42,766,2525.0,439992.0,2025-01-17,2,23.84,0.0,47.68,Debit,Store,2025-02-21,POS
43,445,18640.0,,2025-01-05,4,46.49,0.0,185.96,Cash,Store,2025-01-08,POS
44,731,9406.0,399815.0,2025-01-13,5,37.71,9.43,179.12,Cash,Store,2025-01-22,POS
45,718,49728.0,468521.0,2025-01-13,5,24.49,0.0,122.45,Cash,Online,2025-02-01,POS
46,602,25648.0,11257.0,2025-01-14,2,60.85,0.0,121.7,Credit,Store,2025-02-04,POS
47,261,6376.0,293181.0,2025-01-01,4,27.4,10.96,98.64,Credit,Store,2025-01-01,POS
48,13,44392.0,65524.0,2025-01-02,4,453.0,0.0,1812.0,Cash,Store,2025-01-24,POS
49,95,10982.0,121008.0,2025-01-23,4,20.34,0.0,81.36,Cash,Store,2025-02-15,POS
50,531,259.0,377594.0,2025-01-14,2,16.45,0.0,32.9,Debit,Store,2025-02-04,POS
51,607,17409.0,,2025-01-18,2,22.25,0.0,44.5,Credit,Store,2025-01-18,POS
52,35,8801.0,287552.0,2025-01-22,5,51.81,51.81,207.24,Credit,Store,2025-02-27,POS
53,266,34209.0,,2025-01-03,1,58.76,5.88,52.88,Credit,Online,2025-01-27,POS
54,541,1457.0,163600.0,2025-01-24,3,63.78,0.0,191.34,Credit,Store,2025-01-25,POS
55,320,896.0,,2025-01-20,5,22.53,0.0,112.65,Credit,Store,2025-02-12,POS
56,584,8083.0,333489.0,2025-01-12,1,18.8,0.0,18.8,Debit,Store,2025-01-12,POS
57,49,18441.0,489056.0,2025-01-04,1,18.04,0.0,18.04,Debit,Store,2025-02-17,POS
58,774,25990.0,397041.0,2025-01-11,2,37.27,0.0,74.54,Debit,Online,2025-01-27,POS
59,223,25383.0,185032.0,2025-01-30,3,64.34,9.65,183.37,Credit,Store,2025-01-30,POS
60,637,47571.0,,2025-01-16,3,16.64,0.0,49.92,Cash,Store,2025-03-02,POS
61,234,158.0,180186.0,2025-01-15,2,42.96,0.0,85.92,Debit,Online,2025-01-15,POS
62,135,19346.0,247185.0,2025-01-27,2,13.62,0.0,27.24,Credit,Store,2025-02-02,POS
63,474,40509.0,257873.0,2025-01-30,2,82.89,0.0,165.78,Credit,Store,2025-01-30,POS
64,754,49491.0,414054.0,2025-01-29,3,31.57,4.74,89.97,Credit,Store,2025-02-03,POS
65,248,2808.0,102373.0,2025-01-07,3,16.0,0.0,48.0,Cash,Online,2025-01-07,POS
66,384,32604.0,319615.0,2025-01-26,1,35.29,3.53,31.76,Cash,Store,2025-01-26,POS
67,797,19795.0,,2025-01-21,2,76.45,0.0,152.9,Debit,Store,2025-01-21,POS
68,774,2410.0,468857.0,2025-01-23,4,47.05,0.0,188.2,Cash,Store,2025-01-26,POS
69,304,20683.0,446161.0,2025-01-07,2,24.06,2.41,45.71,Debit,Store,2025-01-07,POS
70,159,17551.0,349902.0,2025-01-14,5,81.74,0.0,408.7,Debit,Store,2025-01-14,POS
71,150,34531.0,351174.0,2025-01-08,4,12.51,0.0,50.04,Cash,Store,2025-01-08,POS
72,181,40821.0,272288.0,2025-01-05,4,14.49,0.0,57.96,Debit,Store,2025-01-05,POS
73,316,28113.0,49864.0,2025-01-26,1,19.81,0.0,19.81,Credit,Store,2025-01-26,POS
74,642,21186.0,360354.0,2025-01-08,5,19.1,0.0,95.5,Cash,Store,2025-02-12,POS
75,526,21750.0,313708.0,2025-01-27,4,95.98,0.0,383.92,Credit,Store,2025-03-04,POS
76,86,45781.0,377727.0,2025-01-04,5,28.98,14.49,130.41,Credit,Store,2025-01-04,POS
77,758,17323.0,,2025-01-07,3,16.62,2.49,47.37,Credit,Store,2025-01-09,POS
78,272,34129.0,473788.0,2025-01-16,3,36.87,0.0,110.61,Credit,Store,2025-02-12,POS
79,184,34229.0,57914.0,2025-01-21,1,78.18,15.64,62.54,Credit,Store,2025-01-21,POS
80,505,32808.0,119557.0,2025-01-02,1,74.97,0.0,74.97,Credit,Store,2025-02-01,POS
81,615,5598.0,,2025-01-01,3,49.13,0.0,147.39,Debit,Store,2025-01-01,POS
82,512,10246.0,15349.0,2025-01-28,5,38.16,0.0,190.8,Mobile Wallet,Store,2025-01-28,POS
83,319,42166.0,,2025-01-18,2,23.29,0.0,46.58,Credit,Store,2025-01-18,POS
84,708,20752.0,138921.0,2025-01-06,4,24.43,0.0,97.72,Cash,Store,2025-01-06,POS
85,161,41234.0,115213.0,2025-01-05,3,56.64,0.0,169.92,Cash,Store,2025-01-05,POS
86,169,31283.0,480138.0,2025-01-23,3,16.31,0.0,48.93,Mobile Wallet,Store,2025-01-23,POS
87,579,24737.0,143518.0,2025-01-07,4,34.08,0.0,136.32,Credit,Store,2025-01-07,POS
88,464,26344.0,407703.0,2025-01-07,2,127.96,0.0,255.92,Debit,Store,2025-02-21,POS
89,417,41993.0,,2025-01-18,2,110.51,0.0,221.02,Cash,Store,2025-01-28,POS
90,770,32135.0,9806.0,2025-01-10,1,21.71,2.17,19.54,Cash,Store,2025-01-10,POS
91,680,43043.0,293508.0,2025-01-04,2,50.43,5.04,95.82,Debit,Store,2025-01-04,POS
92,506,3088.0,400507.0,2025-01-13,1,37.86,0.0,37.86,Credit,Store,2025-02-20,POS
93,165,19594.0,346610.0,2025-01-27,1,47.43,7.11,40.32,Debit,Store,2025-01-27,POS
94,191,16592.0,,2025-01-04,2,29.89,0.0,59.78,Cash,Store,2025-01-04,POS
95,713,29632.0,,2025-01-17,2,37.8,3.78,71.82,Debit,Store,2025-02-22,POS
96,229,40469.0,243236.0,2025-01-26,4,11.04,0.0,44.16,Debit,Online,2025-01-26,POS
97,286,48197.0,117695.0,2025-01-08,5,11.33,5.66,50.99,Credit,Store,2025-01-08,POS
98,652,21697.0,225017.0,2025-01-03,1,17.04,0.0,17.04,Debit,Store,2025-01-03,POS
99,384,11211.0,42526.0,2025-01-25,3,56.32,0.0,168.96,Credit,Store,2025-01-25,POS
100,350,1858.0,3139.0,2025-01-04,4,45.02,0.0,180.08,Cash,Store,2025-02-05,POS
101,491,49760.0,,2025-01-03,5,19.45,0.0,97.25,Credit,Store,2025-01-03,POS
102,563,42519.0,234121.0,2025-01-16,2,26.28,5.26,47.3,Debit,Store,2025-01-16,POS
103,214,27505.0,469658.0,2025-01-26,5,67.97,0.0,339.85,Cash,Online,2025-02-14,POS
104,597,46383.0,237275.0,2025-01-29,3,22.16,0.0,66.48,Mobile Wallet,Store,2025-01-29,POS
105,159,30162.0,20652.0,2025-01-20,2,59.41,5.94,112.88,Credit,Store,2025-01-20,POS
106,509,31316.0,285971.0,2025-01-24,4,39.18,0.0,156.72,Debit,Store,2025-01-24,POS
107,580,13318.0,419146.0,2025-01-01,1,51.32,0.0,51.32,Debit,Store,2025-01-01,POS
108,304,4020.0,,2025-01-27,5,64.31,0.0,321.55,Mobile Wallet,Store,2025-01-27,POS
109,373,40744.0,476546.0,2025-01-20,1,10.76,1.08,9.68,Gift Card,Store,2025-02-26,POS
110,183,19606.0,297857.0,2025-01-31,5,46.52,0.0,232.6,Debit,Store,2025-01-31,POS
111,227,19820.0,427716.0,2025-01-11,4,20.55,0.0,82.2,Gift Card,Online,2025-02-19,POS
112,345,38517.0,369346.0,2025-01-26,3,90.06,0.0,270.18,Debit,Store,2025-01-26,POS
113,164,19212.0,94178.0,2025-01-08,1,14.22,0.0,14.22,Cash,Store,2025-01-17,POS
114,77,25759.0,354419.0,2025-01-17,3,20.26,0.0,60.78,Cash,Store,2025-01-24,POS
115,707,30539.0,387388.0,2025-01-29,5,46.72,35.04,198.56,Cash,Store,2025-02-24,POS
116,735,15782.0,95104.0,2025-01-16,4,38.03,0.0,152.12,Gift Card,Store,2025-01-18,POS
117,661,33414.0,337921.0,2025-01-21,3,25.16,7.55,67.93,Debit,Store,2025-02-10,POS
118,715,43921.0,276627.0,2025-01-23,4,62.49,0.0,249.96,Debit,Store,2025-01-23,POS
119,477,34362.0,1416.0,2025-01-22,3,21.04,3.16,59.96,Mobile Wallet,Store,2025-01-22,POS
120,764,17219.0,106303.0,2025-01-21,5,37.32,0.0,186.6,Debit,Online,2025-01-21,POS
121,56,32688.0,171166.0,2025-01-07,4,14.2,0.0,56.8,Cash,Store,2025-01-29,POS
122,73,17366.0,147463.0,2025-01-10,1,57.94,0.0,57.94,Debit,Store,2025-02-23,POS
123,110,38194.0,248081.0,2025-01-25,2,57.54,0.0,115.08,Debit,Online,2025-01-25,POS
124,627,15630.0,148699.0,2025-01-23,5,17.89,17.89,71.56,Credit,Store,2025-01-23,POS
125,88,23116.0,444785.0,2025-01-06,3,14.51,0.0,43.53,Debit,Store,2025-02-08,POS
126,667,20553.0,357398.0,2025-01-26,4,14.17,8.5,48.18,Credit,Store,2025-01-26,POS
127,10,22713.0,274528.0,2025-01-31,3,19.78,11.87,47.47,Debit,Store,2025-02-26,POS
128,667,25613.0,,2025-01-30,4,39.84,0.0,159.36,Debit,Store,2025-01-30,POS
129,2,23559.0,142712.0,2025-01-25,1,52.45,5.25,47.2,Credit,Online,2025-02-10,POS
130,430,42042.0,12775.0,2025-01-18,3,66.23,0.0,198.69,Mobile Wallet,Store,2025-01-23,POS
131,307,1888.0,164803.0,2025-01-07,1,18.37,0.0,18.37,Credit,Store,2025-01-12,POS
132,222,39018.0,289521.0,2025-01-31,3,56.75,0.0,170.25,Debit,Store,2025-03-02,POS
133,576,20234.0,118731.0,2025-01-03,4,10.73,0.0,42.92,Debit,Store,2025-01-23,POS
134,18,47012.0,495120.0,2025-01-27,2,19.1,0.0,38.2,Credit,Store,2025-02-16,POS
135,478,8872.0,114957.0,2025-01-12,3,9.6,0.0,28.8,Credit,Store,2025-01-16,POS
136,181,8692.0,226010.0,2025-01-05,5,99.16,0.0,495.8,Debit,Online,2025-01-05,POS
137,597,17945.0,233696.0,2025-01-17,5,22.05,0.0,110.25,Gift Card,Store,2025-02-22,POS
138,60,14588.0,239396.0,2025-01-12,5,75.49,0.0,377.45,Credit,Store,2025-01-28,POS
139,586,47541.0,278437.0,2025-01-02,5,7.01,0.0,35.05,Credit,Store,2025-01-02,POS
140,742,24462.0,83231.0,2025-01-11,4,29.54,0.0,118.16,Credit,Store,2025-02-17,POS
141,484,37689.0,431421.0,2025-01-20,2,19.22,5.77,32.67,Cash,Store,2025-01-20,POS
142,178,49816.0,348707.0,2025-01-04,3,19.49,0.0,58.47,Debit,Store,2025-01-04,POS
143,366,43321.0,13214.0,2025-01-04,5,13.87,0.0,69.35,Credit,Store,2025-01-04,POS
144,93,6655.0,430709.0,2025-01-24,4,47.53,0.0,190.12,Debit,Store,2025-02-06,POS
145,628,38295.0,489711.0,2025-01-09,4,57.09,0.0,228.36,Debit,Store,2025-02-17,POS
146,746,7755.0,,2025-01-21,2,58.69,0.0,117.38,Credit,Store,2025-01-21,POS
147,608,37938.0,88155.0,2025-01-29,3,13.68,0.0,41.04,Debit,Online,2025-03-05,POS
148,54,32480.0,433550.0,2025-01-21,4,27.52,0.0,110.08,Credit,Online,2025-01-30,POS
149,333,11845.0,428668.0,2025-01-17,4,30.27,12.11,108.97,Cash,Online,2025-02-16,POS
150,308,13686.0,204959.0,2025-01-28,3,44.79,13.44,120.93,Credit,Store,2025-01-30,POS
151,85,32724.0,,2025-01-21,4,50.75,30.45,172.55,Debit,Store,2025-01-21,POS
152,313,12317.0,213274.0,2025-01-19,4,26.23,0.0,104.92,Gift Card,Store,2025-02-13,POS
153,157,12663.0,329474.0,2025-01-23,5,35.57,0.0,177.85,Debit,Store,2025-01-23,POS
154,620,7839.0,,2025-01-25,5,25.47,0.0,127.35,Credit,Store,2025-01-26,POS
155,658,33163.0,214823.0,2025-01-14,2,118.05,35.42,200.68,Credit,Store,2025-01-14,POS
156,561,14961.0,494833.0,2025-01-24,2,54.73,0.0,109.46,Credit,Store,2025-01-24,POS
157,733,45914.0,322177.0,2025-01-22,1,8.71,0.0,8.71,Credit,Store,2025-01-22,POS
158,224,40813.0,214699.0,2025-01-02,2,33.24,6.65,59.83,Cash,Store,2025-02-02,POS
159,746,6888.0,37321.0,2025-01-08,3,64.78,0.0,194.34,Credit,Store,2025-01-08,POS
160,70,19125.0,359599.0,2025-01-26,1,69.94,0.0,69.94,Credit,Store,2025-01-26,POS
161,393,28454.0,437158.0,2025-01-12,3,16.19,2.43,46.14,Debit,Store,2025-01-30,POS
162,444,28025.0,250717.0,2025-01-16,4,11.09,2.22,42.14,Credit,Store,2025-01-16,POS
163,185,27255.0,459289.0,2025-01-26,2,26.0,0.0,52.0,Credit,Store,2025-01-26,POS
164,371,1846.0,258560.0,2025-01-07,4,17.88,3.58,67.94,Credit,Store,2025-02-16,POS
165,102,27187.0,459180.0,2025-01-19,3,15.92,0.0,47.76,Gift Card,Online,2025-02-02,POS
166,770,31298.0,182260.0,2025-01-07,5,67.42,16.86,320.24,Credit,Store,2025-01-07,POS
167,124,4992.0,387850.0,2025-01-01,1,143.85,0.0,143.85,Credit,Store,2025-01-21,POS
168,575,46218.0,186657.0,2025-01-20,4,23.74,0.0,94.96,Debit,Store,2025-01-20,POS
169,72,43057.0,,2025-01-31,5,80.65,80.65,322.6,Debit,Store,2025-02-03,POS
170,295,27725.0,302817.0,2025-01-02,1,43.88,2.19,41.69,Cash,Store,2025-01-15,POS
171,328,37499.0,45445.0,2025-01-22,2,35.85,3.59,68.11,Cash,Store,2025-02-16,POS
172,489,24202.0,15931.0,2025-01-21,2,26.35,5.27,47.43,Debit,Store,2025-01-21,POS
173,519,37170.0,218261.0,2025-01-18,2,8.5,3.4,13.6,Gift Card,Store,2025-01-18,POS
174,546,13871.0,866.0,2025-01-06,4,29.41,0.0,117.64,Cash,Store,2025-01-06,POS
175,404,15208.0,480704.0,2025-01-26,3,95.97,28.79,259.12,Credit,Online,2025-01-26,POS
176,224,237.0,141075.0,2025-01-23,5,22.91,22.91,91.64,Credit,Store,2025-03-09,POS
177,249,25854.0,172901.0,2025-01-15,3,13.69,0.0,41.07,Debit,Online,2025-01-15,POS
178,86,46174.0,,2025-01-23,3,49.39,0.0,148.17,Credit,Store,2025-03-03,POS
179,176,9577.0,,2025-01-31,1,55.99,0.0,55.99,Credit,Store,2025-01-31,POS
180,490,3804.0,127669.0,2025-01-31,3,14.06,0.0,42.18,Debit,Store,2025-01-31,POS
181,320,42861.0,381626.0,2025-01-12,2,16.86,0.0,33.72,Mobile Wallet,Store,2025-01-12,POS
182,660,30534.0,305369.0,2025-01-24,4,42.2,0.0,168.8,Credit,Store,2025-01-24,POS
183,793,11235.0,355970.0,2025-01-09,4,23.1,18.48,73.92,Debit,Store,2025-01-29,POS
184,724,10988.0,,2025-01-06,1,44.01,0.0,44.01,Credit,Online,2025-01-19,POS
185,15,41039.0,17054.0,2025-01-22,2,51.62,20.65,82.59,Credit,Store,2025-02-05,POS
186,691,4460.0,301743.0,2025-01-18,4,18.69,0.0,74.76,Debit,Store,2025-02-19,POS
187,31,1104.0,,2025-01-07,2,31.91,0.0,63.82,Debit,Store,2025-02-09,POS
188,301,9342.0,264511.0,2025-01-13,2,94.99,9.5,180.48,Credit,Store,2025-01-13,POS
189,93,26544.0,79720.0,2025-01-21,4,132.25,52.9,476.1,Debit,Online,2025-02-01,POS
190,322,24120.0,21801.0,2025-01-27,2,58.52,11.7,105.34,Cash,Store,2025-01-27,POS
191,50,22823.0,12050.0,2025-01-27,3,16.71,2.51,47.62,Mobile Wallet,Online,2025-02-15,POS
192,530,10556.0,120192.0,2025-01-16,4,51.14,10.23,194.33,Credit,Store,2025-01-16,POS
193,29,12335.0,233151.0,2025-01-14,3,54.22,24.4,138.26,Debit,Store,2025-01-14,POS
194,463,4858.0,135965.0,2025-01-02,1,28.36,1.42,26.94,Debit,Online,2025-01-11,POS
195,52,21893.0,48670.0,2025-01-24,5,32.52,0.0,162.6,Debit,Store,2025-01-24,POS
196,366,44387.0,101369.0,2025-01-29,4,36.34,0.0,145.36,Debit,Store,2025-02-06,POS
197,588,20009.0,264459.0,2025-01-23,4,32.29,12.92,116.24,Debit,Store,2025-01-23,POS
198,179,10613.0,,2025-01-28,1,37.23,3.72,33.51,Debit,Store,2025-03-06,POS
199,708,33091.0,,2025-01-29,3,16.36,0.0,49.08,Debit,Store,2025-01-29,POS
200,12,31499.0,272237.0,2025-01-23,4,27.57,0.0,110.28,Mobile Wallet,Store,2025-01-23,POS
201,336,17030.0,149673.0,2025-01-28,1,73.41,0.0,73.41,Debit,Store,2025-01-28,POS
202,253,31650.0,359132.0,2025-01-02,2,123.43,12.34,234.52,Mobile Wallet,Store,2025-01-02,POS
203,383,21139.0,127716.0,2025-01-22,1,26.87,0.0,26.87,Credit,Store,2025-01-22,POS
204,261,34374.0,,2025-01-17,1,37.91,7.58,30.33,Debit,Store,2025-02-13,POS
205,289,44455.0,80722.0,2025-01-04,2,32.16,0.0,64.32,Gift Card,Online,2025-01-04,POS
206,181,23431.0,64776.0,2025-01-18,5,50.02,0.0,250.1,Debit,Store,2025-02-12,POS
207,244,37711.0,482012.0,2025-01-29,2,32.01,0.0,64.02,Credit,Store,2025-02-18,POS
208,734,21331.0,377331.0,2025-01-14,2,74.46,22.34,126.58,Debit,Store,2025-01-27,POS
209,213,42014.0,355398.0,2025-01-25,1,17.12,0.0,17.12,Cash,Store,2025-01-25,POS
210,240,540.0,67142.0,2025-01-14,5,6.15,0.0,30.75,Gift Card,Store,2025-01-31,POS
211,581,19015.0,467072.0,2025-01-04,4,11.37,0.0,45.48,Mobile Wallet,Store,2025-01-04,POS
212,94,28665.0,230954.0,2025-01-28,4,56.1,0.0,224.4,Cash,Store,2025-02-17,POS
213,714,38635.0,,2025-01-08,3,22.0,0.0,66.0,Debit,Store,2025-01-08,POS
214,460,22792.0,24014.0,2025-01-06,4,10.9,4.36,39.24,Cash,Store,2025-01-06,POS
215,185,25380.0,,2025-01-15,3,33.25,4.99,94.76,Cash,Store,2025-02-24,POS
216,649,23496.0,240869.0,2025-01-20,3,62.9,28.3,160.4,Credit,Online,2025-02-03,POS
217,172,14226.0,279150.0,2025-01-15,2,20.53,0.0,41.06,Credit,Store,2025-01-17,POS
218,646,2878.0,,2025-01-07,3,40.76,6.11,116.17,Credit,Store,2025-01-07,POS
219,179,20309.0,478317.0,2025-01-27,2,34.1,10.23,57.97,Credit,Store,2025-02-04,POS
220,584,18415.0,267942.0,2025-01-31,2,32.99,0.0,65.98,Cash,Store,2025-02-26,POS
221,756,48289.0,359483.0,2025-01-08,4,128.76,0.0,515.04,Credit,Store,2025-01-31,POS
222,312,1921.0,,2025-01-12,5,63.98,16.0,303.9,Credit,Store,2025-01-12,POS
223,336,18941.0,,2025-01-13,3,46.37,20.87,118.24,Cash,Store,2025-02-04,POS
224,53,19110.0,393991.0,2025-01-29,1,75.18,0.0,75.18,Cash,Store,2025-02-07,POS
225,626,7300.0,429058.0,2025-01-23,5,51.43,0.0,257.15,Debit,Store,2025-01-23,POS
226,350,29461.0,289404.0,2025-01-12,4,39.56,7.91,150.33,Debit,Store,2025-01-12,POS
227,322,28825.0,151000.0,2025-01-28,1,12.93,1.94,10.99,Debit,Store,2025-01-28,POS
228,633,46091.0,196089.0,2025-01-02,1,49.4,0.0,49.4,Debit,Online,2025-01-02,POS
229,726,30929.0,207170.0,2025-01-13,5,44.19,0.0,220.95,Credit,Store,2025-01-25,POS
230,462,37052.0,14273.0,2025-01-18,1,18.09,0.0,18.09,Debit,Store,2025-02-21,POS
231,149,14884.0,,2025-01-21,2,33.8,6.76,60.84,Cash,Store,2025-01-29,POS
232,511,37229.0,197850.0,2025-01-02,3,44.54,0.0,133.62,Debit,Store,2025-01-02,POS
233,769,27225.0,173556.0,2025-01-03,2,276.04,0.0,552.08,Debit,Store,2025-01-23,POS
234,92,7967.0,6456.0,2025-01-16,2,30.27,9.08,51.46,Debit,Store,2025-02-15,POS
235,146,42922.0,365626.0,2025-01-19,4,20.82,8.33,74.95,Debit,Store,2025-02-22,POS
236,304,28684.0,93651.0,2025-01-29,4,27.99,16.79,95.17,Debit,Store,2025-02-09,POS
237,38,47134.0,,2025-01-15,2,14.14,2.83,25.45,Mobile Wallet,Store,2025-01-15,POS
238,138,41351.0,,2025-01-17,2,9.66,0.0,19.32,Cash,Online,2025-02-01,POS
239,680,16200.0,203692.0,2025-01-24,5,49.07,0.0,245.35,Credit,Store,2025-01-24,POS
240,637,12655.0,126531.0,2025-01-23,2,147.82,0.0,295.64,Debit,Store,2025-01-23,POS
241,37,47977.0,205761.0,2025-01-14,1,26.5,0.0,26.5,Debit,Store,2025-01-14,POS
242,104,29341.0,461225.0,2025-01-15,2,44.29,0.0,88.58,Credit,Store,2025-01-15,POS
243,656,22831.0,204282.0,2025-01-21,5,34.49,0.0,172.45,Debit,Store,2025-01-21,POS
244,222,31819.0,373256.0,2025-01-14,3,18.53,0.0,55.59,Cash,Store,2025-02-27,POS
245,54,48512.0,494695.0,2025-01-17,1,28.59,0.0,28.59,Debit,Online,2025-01-17,POS
246,349,35599.0,239221.0,2025-01-09,4,50.92,10.18,193.5,Credit,Store,2025-01-24,POS
247,564,12753.0,1142.0,2025-01-14,1,30.08,0.0,30.08,Gift Card,Store,2025-02-14,POS
248,269,28510.0,33492.0,2025-01-13,1,23.01,0.0,23.01,Cash,Store,2025-01-13,POS
249,673,7524.0,488881.0,2025-01-26,5,61.29,30.64,275.81,Credit,Store,2025-02-05,POS
250,683,36723.0,,2025-01-19,3,26.14,15.68,62.74,Debit,Store,2025-01-23,POS
251,95,4122.0,427190.0,2025-01-22,3,35.16,0.0,105.48,Credit,Store,2025-01-22,POS
252,276,21838.0,80489.0,2025-01-03,2,40.47,8.09,72.85,Debit,Online,2025-02-01,POS
253,686,23132.0,,2025-01-06,2,16.08,1.61,30.55,Credit,Store,2025-02-07,POS
254,291,29182.0,117967.0,2025-01-29,5,70.01,0.0,350.05,Credit,Store,2025-01-29,POS
255,552,16107.0,387912.0,2025-01-29,1,13.97,0.0,13.97,Debit,Store,2025-02-15,POS
256,314,24121.0,481042.0,2025-01-12,5,151.04,0.0,755.2,Debit,Store,2025-01-12,POS
257,337,18778.0,127974.0,2025-01-19,4,65.65,0.0,262.6,Credit,Store,2025-01-19,POS
258,18,34275.0,43855.0,2025-01-08,4,211.89,42.38,805.18,Cash,Online,2025-02-03,POS
259,690,15076.0,,2025-01-04,2,18.42,1.84,35.0,Credit,Store,2025-01-21,POS
260,172,48062.0,177287.0,2025-01-06,5,43.44,0.0,217.2,Credit,Store,2025-02-05,POS
261,247,36996.0,417827.0,2025-01-31,4,15.55,9.33,52.87,Cash,Store,2025-01-31,POS
262,759,41316.0,395229.0,2025-01-13,4,43.33,17.33,155.99,Credit,Store,2025-01-30,POS
263,779,37161.0,25569.0,2025-01-25,5,84.36,21.09,400.71,Credit,Store,2025-01-25,POS
264,171,34584.0,275481.0,2025-01-10,2,6.88,0.0,13.76,Debit,Store,2025-01-10,POS
265,568,31460.0,,2025-01-24,2,22.12,0.0,44.24,Cash,Store,2025-02-18,POS
266,226,26160.0,375485.0,2025-01-18,4,8.49,0.0,33.96,Credit,Store,2025-02-15,POS
267,638,31472.0,265155.0,2025-01-18,2,23.49,2.35,44.63,Debit,Store,2025-02-23,POS
268,628,23105.0,,2025-01-01,2,126.57,37.97,215.17,Credit,Store,2025-01-01,POS
